date,count
2014-01-01,0
2014-01-02,48133
2014-01-03,57385
2014-01-04,40532
2014-01-05,41414
2014-01-06,81561
2014-01-07,145670
2014-01-08,96703
2014-01-09,233745
2014-01-10,175666
2014-01-11,66190
2014-01-12,65061
2014-01-13,105578
2014-01-14,259057
2014-01-15,145868
2014-01-16,141891
2014-01-17,73508
2014-01-18,55146
2014-01-19,54086
2014-01-20,89751
2014-01-21,109478
2014-01-22,106038
2014-01-23,118879
2014-01-24,105638
2014-01-25,58670
2014-01-26,60728
2014-01-27,115802
2014-01-28,129358
2014-01-29,116087
2014-01-30,121641
2014-01-31,87845
2014-02-01,60209
2014-02-02,70991
2014-02-03,130081
2014-02-04,154235
2014-02-05,120014
2014-02-06,129791
2014-02-07,99238
2014-02-08,68479
2014-02-09,73674
2014-02-10,111551
2014-02-11,136244
2014-02-12,107748
2014-02-13,122318
2014-02-14,257891
2014-02-15,63822
2014-02-16,71929
2014-02-17,131575
2014-02-18,123677
2014-02-19,124177
2014-02-20,136794
2014-02-21,150757
2014-02-22,84173
2014-02-23,75210
2014-02-24,115017
2014-02-25,125325
2014-02-26,161294
2014-02-27,133807
2014-02-28,113016
2014-03-01,72887
2014-03-02,74730
2014-03-03,162569
2014-03-04,208213
2014-03-05,149318
2014-03-06,142985
2014-03-07,146089
2014-03-08,91550
2014-03-09,80408
2014-03-10,199908
2014-03-11,171639
2014-03-12,142667
2014-03-13,126801
2014-03-14,113993
2014-03-15,101371
2014-03-16,65478
2014-03-17,139251
2014-03-18,144443
2014-03-19,134795
2014-03-20,148346
2014-03-21,160349
2014-03-22,88254
2014-03-23,63413
2014-03-24,154109
2014-03-25,267558
2014-03-26,150948
2014-03-27,152336
2014-03-28,124493
2014-03-29,83035
2014-03-30,127642
2014-03-31,140889
2014-04-01,170065
2014-04-02,151298
2014-04-03,126571
2014-04-04,131119
2014-04-05,92721
2014-04-06,75990
2014-04-07,170505
2014-04-08,173832
2014-04-09,209961
2014-04-10,177982
2014-04-11,174026
2014-04-12,162488
2014-04-13,147549
2014-04-14,257088
2014-04-15,236929
2014-04-16,190702
2014-04-17,171815
2014-04-18,159642
2014-04-19,125635
2014-04-20,109519
2014-04-21,159661
2014-04-22,181161
2014-04-23,186274
2014-04-24,203572
2014-04-25,172803
2014-04-26,105500
2014-04-27,185400
2014-04-28,172590
2014-04-29,167450
2014-04-30,157870
2014-05-01,130419
2014-05-02,127326
2014-05-03,95094
2014-05-04,77100
2014-05-05,160063
2014-05-06,188084
2014-05-07,166708
2014-05-08,178473
2014-05-09,158571
2014-05-10,94975
2014-05-11,82286
2014-05-12,152526
2014-05-13,176396
2014-05-14,172920
2014-05-15,162669
2014-05-16,19061
2014-05-17,24207
2014-05-18,85955
2014-05-19,165351
2014-05-20,147871
2014-05-21,103166
2014-05-22,200740
2014-05-23,153817
2014-05-24,64545
2014-05-25,83170
2014-05-26,108321
2014-05-27,167471
2014-05-28,153513
2014-05-29,168265
2014-05-30,140797
2014-05-31,119529
2014-06-01,87190
2014-06-02,174453
2014-06-03,198747
2014-06-04,209867
2014-06-05,209861
2014-06-06,164167
2014-06-07,110195
2014-06-08,124013
2014-06-09,181728
2014-06-10,178957
2014-06-11,197362
2014-06-12,183643
2014-06-13,200273
2014-06-14,124308
2014-06-15,130380
2014-06-16,170309
2014-06-17,184769
2014-06-18,200604
2014-06-19,220187
2014-06-20,199728
2014-06-21,100300
2014-06-22,117004
2014-06-23,178060
2014-06-24,168887
2014-06-25,226994
2014-06-26,223856
2014-06-27,176318
2014-06-28,108516
2014-06-29,98670
2014-06-30,211630
2014-07-01,167871
2014-07-02,145978
2014-07-03,156735
2014-07-04,121388
2014-07-05,85680
2014-07-06,88702
2014-07-07,173305
2014-07-08,225455
2014-07-09,204074
2014-07-10,196067
2014-07-11,186799
2014-07-12,128945
2014-07-13,100936
2014-07-14,186627
2014-07-15,194915
2014-07-16,181111
2014-07-17,191137
2014-07-18,173551
2014-07-19,109991
2014-07-20,103021
2014-07-21,206653
2014-07-22,177675
2014-07-23,186140
2014-07-24,150904
